locus_tag,strain,route,product,value,og_group_id,og_level,og_product
MASE_08780,Alteromonas macleodii ATCC27126,vesicle,polyribonucleotide nucleotidyltransferase,0.4,eggnog:4651T@72275,Alteromonadaceae,polyribonucleotide nucleotidyltransferase
MASE_10095,Alteromonas macleodii ATCC27126,vesicle,30S ribosomal protein S1,0.4,eggnog:464BF@72275,Alteromonadaceae,30S ribosomal protein S1
MASE_12175,Alteromonas macleodii ATCC27126,vesicle,adenylate kinase,0.4,eggnog:46577@72275,Alteromonadaceae,adenylate kinase
MASE_12850,Alteromonas macleodii ATCC27126,vesicle,nucleoside-diphosphate kinase,0.4,eggnog:466Z4@72275,Alteromonadaceae,nucleoside-diphosphate kinase
MASE_13235,Alteromonas macleodii ATCC27126,vesicle,XrtA/PEP-CTERM system exopolysaccharide export protein,0.4,eggnog:464WW@72275,Alteromonadaceae,XrtA/PEP-CTERM system exopolysaccharide export protein
MASE_14015,Alteromonas macleodii ATCC27126,vesicle,dihydrolipoyl dehydrogenase,0.4,eggnog:463YH@72275,Alteromonadaceae,dihydrolipoyl dehydrogenase
MASE_15050,Alteromonas macleodii ATCC27126,vesicle,glutamate--ammonia ligase,0.4,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
MASE_16540,Alteromonas macleodii ATCC27126,vesicle,nucleotide sugar dehydrogenase,0.4,eggnog:464FW@72275,Alteromonadaceae,nucleotide sugar dehydrogenase
MASE_17550,Alteromonas macleodii ATCC27126,vesicle,50S ribosomal protein L10,0.4,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
MASE_17950,Alteromonas macleodii ATCC27126,vesicle,30S ribosomal protein S18,0.4,eggnog:467T8@72275,Alteromonadaceae,30S ribosomal protein S18
MASE_04425,Alteromonas macleodii ATCC27126,vesicle,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.3,eggnog:464ZA@72275,Alteromonadaceae,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
MASE_06860,Alteromonas macleodii ATCC27126,vesicle,ribose-phosphate pyrophosphokinase,0.3,eggnog:464JX@72275,Alteromonadaceae,ribose-phosphate pyrophosphokinase
MASE_09080,Alteromonas macleodii ATCC27126,vesicle,citrate synthase,0.3,eggnog:464XQ@72275,Alteromonadaceae,citrate synthase
MASE_15840,Alteromonas macleodii ATCC27126,vesicle,TIGR04219 family outer membrane beta-barrel protein,0.3,eggnog:4660B@72275,Alteromonadaceae,TIGR04219 family outer membrane beta-barrel protein
MASE_16820,Alteromonas macleodii ATCC27126,vesicle,30S ribosomal protein S13,0.3,eggnog:467N1@72275,Alteromonadaceae,30S ribosomal protein S13
MASE_17535,Alteromonas macleodii ATCC27126,vesicle,DNA-directed RNA polymerase subunit beta^,0.3,eggnog:46403@72275,Alteromonadaceae,DNA-directed RNA polymerase subunit beta^
MASE_19080,Alteromonas macleodii ATCC27126,vesicle,FKBP-type peptidyl-prolyl cis-trans isomerase,0.3,eggnog:46CFF@72275,Alteromonadaceae,FKBP-type peptidyl-prolyl cis-trans isomerase
ALTBGP6_03431,Alteromonas macleodii BGP6,vesicle,TonB-dependent receptor,14.0,eggnog:465FE@72275,Alteromonadaceae,TonB-dependent receptor
ALTBGP6_03469,Alteromonas macleodii BGP6,vesicle,elongation factor Tu,5.7,eggnog:4651Q@72275,Alteromonadaceae,elongation factor Tu
ALTBGP6_01164,Alteromonas macleodii BGP6,vesicle,DUF3450 domain-containing protein,2.8,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
ALTBGP6_00891,Alteromonas macleodii BGP6,vesicle,porin family protein,2.7,eggnog:4686N@72275,Alteromonadaceae,outer membrane beta-barrel protein
ALTBGP6_01738,Alteromonas macleodii BGP6,vesicle,acyl carrier protein,2.0,eggnog:467SY@72275,Alteromonadaceae,acyl carrier protein
ALTBGP6_01165,Alteromonas macleodii BGP6,vesicle,MotA/TolQ/ExbB proton channel family protein,1.9,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
ALTBGP6_01995,Alteromonas macleodii BGP6,vesicle,ADP-forming succinate--CoA ligase subunit beta,1.9,eggnog:46480@72275,Alteromonadaceae,ADP-forming succinate--CoA ligase subunit beta
ALTBGP6_02414,Alteromonas macleodii BGP6,vesicle,alkaline phosphatase PhoX,1.7,eggnog:4661S@72275,Alteromonadaceae,alkaline phosphatase PhoX
ALTBGP6_04051,Alteromonas macleodii BGP6,vesicle,F0F1 ATP synthase subunit beta,1.5,eggnog:465I5@72275,Alteromonadaceae,F0F1 ATP synthase subunit beta
ALTBGP6_00605,Alteromonas macleodii BGP6,vesicle,outer membrane channel protein TolC,1.4,eggnog:46448@72275,Alteromonadaceae,outer membrane channel protein TolC
ALTBGP6_02726,Alteromonas macleodii BGP6,vesicle,nucleoid-associated protein HU-beta,1.4,eggnog:467ZY@72275,Alteromonadaceae,nucleoid-associated protein HU-beta
ALTBGP6_03671,Alteromonas macleodii BGP6,vesicle,50S ribosomal protein L7/L12,1.2,eggnog:46787@72275,Alteromonadaceae,50S ribosomal protein L7/L12
ALTBGP6_01996,Alteromonas macleodii BGP6,vesicle,succinate--CoA ligase subunit alpha,1.1,eggnog:4652M@72275,Alteromonadaceae,succinate--CoA ligase subunit alpha
ALTBGP6_03739,Alteromonas macleodii BGP6,vesicle,OmpA family protein,1.1,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
ALTBGP6_01537,Alteromonas macleodii BGP6,vesicle,elongation factor G,1.0,eggnog:464WS@72275,Alteromonadaceae,elongation factor G
ALTBGP6_03538,Alteromonas macleodii BGP6,vesicle,50S ribosomal protein L5,1.0,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
ALTBGP6_04053,Alteromonas macleodii BGP6,vesicle,F0F1 ATP synthase subunit alpha,1.0,eggnog:464BU@72275,Alteromonadaceae,F0F1 ATP synthase subunit alpha
ALTBGP6_00055,Alteromonas macleodii BGP6,vesicle,50S ribosomal protein L28,0.8,eggnog:467R5@72275,Alteromonadaceae,50S ribosomal protein L28
ALTBGP6_00488,Alteromonas macleodii BGP6,vesicle,thioredoxin TrxA,0.8,eggnog:467AS@72275,Alteromonadaceae,thioredoxin TrxA
ALTBGP6_00955,Alteromonas macleodii BGP6,vesicle,phosphopyruvate hydratase,0.8,eggnog:464ZZ@72275,Alteromonadaceae,phosphopyruvate hydratase
ALTBGP6_01992,Alteromonas macleodii BGP6,vesicle,succinate dehydrogenase iron-sulfur subunit,0.8,eggnog:4658G@72275,Alteromonadaceae,succinate dehydrogenase iron-sulfur subunit
ALTBGP6_02106,Alteromonas macleodii BGP6,vesicle,bacterioferritin,0.8,eggnog:466EC@72275,Alteromonadaceae,bacterioferritin
ALTBGP6_03428,Alteromonas macleodii BGP6,vesicle,malate dehydrogenase,0.8,eggnog:463ZA@72275,Alteromonadaceae,malate dehydrogenase
ALTBGP6_00029,Alteromonas macleodii BGP6,vesicle,OmpW family outer membrane protein,0.7,eggnog:467CK@72275,Alteromonadaceae,OmpW family outer membrane protein
ALTBGP6_01006,Alteromonas macleodii BGP6,vesicle,30S ribosomal protein S2,0.7,eggnog:46443@72275,Alteromonadaceae,30S ribosomal protein S2
ALTBGP6_03191,Alteromonas macleodii BGP6,vesicle,glutamate--ammonia ligase,0.7,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
ALTBGP6_03754,Alteromonas macleodii BGP6,vesicle,30S ribosomal protein S18,0.7,eggnog:467T8@72275,Alteromonadaceae,30S ribosomal protein S18
ALTBGP6_00367,Alteromonas macleodii BGP6,vesicle,30S ribosomal protein S3,0.6,eggnog:46670@72275,Alteromonadaceae,30S ribosomal protein S3
ALTBGP6_02992,Alteromonas macleodii BGP6,vesicle,dihydrolipoyl dehydrogenase,0.6,eggnog:463YH@72275,Alteromonadaceae,dihydrolipoyl dehydrogenase
ALTBGP6_03038,Alteromonas macleodii BGP6,vesicle,SapC family protein,0.6,eggnog:465QK@72275,Alteromonadaceae,SapC family protein
ALTBGP6_00217,Alteromonas macleodii BGP6,vesicle,inorganic diphosphatase,0.5,eggnog:4647K@72275,Alteromonadaceae,inorganic diphosphatase
ALTBGP6_01868,Alteromonas macleodii BGP6,vesicle,NADP-dependent isocitrate dehydrogenase,0.5,eggnog:464R6@72275,Alteromonadaceae,NADP-dependent isocitrate dehydrogenase
ALTBGP6_02169,Alteromonas macleodii BGP6,vesicle,30S ribosomal protein S1,0.5,eggnog:464BF@72275,Alteromonadaceae,30S ribosomal protein S1
ALTBGP6_02838,Alteromonas macleodii BGP6,vesicle,XrtA/PEP-CTERM system exopolysaccharide export protein,0.5,eggnog:464WW@72275,Alteromonadaceae,XrtA/PEP-CTERM system exopolysaccharide export protein
ALTBGP6_02993,Alteromonas macleodii BGP6,vesicle,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,0.5,eggnog:464DV@72275,Alteromonadaceae,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
ALTBGP6_03344,Alteromonas macleodii BGP6,vesicle,TIGR04219 family outer membrane beta-barrel protein,0.5,eggnog:4660B@72275,Alteromonadaceae,TIGR04219 family outer membrane beta-barrel protein
ALTBGP6_03527,Alteromonas macleodii BGP6,vesicle,30S ribosomal protein S13,0.5,eggnog:467N1@72275,Alteromonadaceae,30S ribosomal protein S13
ALTBGP6_03881,Alteromonas macleodii BGP6,vesicle,chaperonin GroEL,0.5,eggnog:4647Z@72275,Alteromonadaceae,chaperonin GroEL
ALTBGP6_00362,Alteromonas macleodii BGP6,vesicle,50S ribosomal protein L4,0.4,eggnog:464IZ@72275,Alteromonadaceae,50S ribosomal protein L4
ALTBGP6_00366,Alteromonas macleodii BGP6,vesicle,50S ribosomal protein L22,0.4,eggnog:467D4@72275,Alteromonadaceae,50S ribosomal protein L22
ALTBGP6_01232,Alteromonas macleodii BGP6,vesicle,superoxide dismutase [Fe],0.4,eggnog:4648W@72275,Alteromonadaceae,superoxide dismutase [Fe]
ALTBGP6_01854,Alteromonas macleodii BGP6,vesicle,phosphoenolpyruvate synthase,0.4,eggnog:464NY@72275,Alteromonadaceae,phosphoenolpyruvate synthase
ALTBGP6_01924,Alteromonas macleodii BGP6,vesicle,polyribonucleotide nucleotidyltransferase,0.4,eggnog:4651T@72275,Alteromonadaceae,polyribonucleotide nucleotidyltransferase
ALTBGP6_02386,Alteromonas macleodii BGP6,vesicle,glyceraldehyde-3-phosphate dehydrogenase,0.4,eggnog:465BD@72275,Alteromonadaceae,glyceraldehyde-3-phosphate dehydrogenase
ALTBGP6_04008,Alteromonas macleodii BGP6,vesicle,ketol-acid reductoisomerase,0.4,eggnog:464ET@72275,Alteromonadaceae,ketol-acid reductoisomerase
AMBAS45_10205,Alteromonas macleodii AD45,vesicle,bacterioferritin,9.9,eggnog:466EC@72275,Alteromonadaceae,bacterioferritin
AMBAS45_05770,Alteromonas macleodii AD45,vesicle,TonB-dependent receptor plug domain-containing protein,9.0,eggnog:464ZY@72275,Alteromonadaceae,TonB-dependent receptor plug domain-containing protein
AMBAS45_12950,Alteromonas macleodii AD45,vesicle,"6,7-dimethyl-8-ribityllumazine synthase",8.4,eggnog:466GG@72275,Alteromonadaceae,"6,7-dimethyl-8-ribityllumazine synthase"
AMBAS45_15565,Alteromonas macleodii AD45,vesicle,glutamate--ammonia ligase,7.9,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
AMBAS45_04250,Alteromonas macleodii AD45,vesicle,outer membrane beta-barrel protein,4.6,eggnog:4686N@72275,Alteromonadaceae,outer membrane beta-barrel protein
AMBAS45_04745,Alteromonas macleodii AD45,vesicle,outer membrane protein assembly factor BamA,3.0,eggnog:464XP@72275,Alteromonadaceae,outer membrane protein assembly factor BamA
AMBAS45_18290,Alteromonas macleodii AD45,vesicle,OmpA family protein,2.5,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
AMBAS45_02905,Alteromonas macleodii AD45,vesicle,outer membrane channel protein TolC,1.9,eggnog:46448@72275,Alteromonadaceae,outer membrane channel protein TolC
AMBAS45_05420,Alteromonas macleodii AD45,vesicle,MotA/TolQ/ExbB proton channel family protein,1.8,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
AMBAS45_05415,Alteromonas macleodii AD45,vesicle,DUF3450 domain-containing protein,1.7,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
AMBAS45_03105,Alteromonas macleodii AD45,vesicle,thiol:disulfide interchange protein DsbA/DsbL,1.3,eggnog:4653J@72275,Alteromonadaceae,thiol:disulfide interchange protein DsbA/DsbL
AMBAS45_13770,Alteromonas macleodii AD45,vesicle,XrtA/PEP-CTERM system exopolysaccharide export protein,1.3,eggnog:464WW@72275,Alteromonadaceae,XrtA/PEP-CTERM system exopolysaccharide export protein
AMBAS45_00150,Alteromonas macleodii AD45,vesicle,OmpW family outer membrane protein,1.1,eggnog:467CK@72275,Alteromonadaceae,OmpW family outer membrane protein
AMBAS45_17000,Alteromonas macleodii AD45,vesicle,elongation factor Tu,1.1,eggnog:4651Q@72275,Alteromonadaceae,elongation factor Tu
AMBAS45_00260,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L28,0.9,eggnog:467R5@72275,Alteromonadaceae,50S ribosomal protein L28
AMBAS45_17245,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L5,0.9,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
AMBAS45_17945,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L10,0.9,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
AMBAS45_16305,Alteromonas macleodii AD45,vesicle,TIGR04219 family outer membrane beta-barrel protein,0.7,eggnog:4660B@72275,Alteromonadaceae,TIGR04219 family outer membrane beta-barrel protein
AMBAS45_18370,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L9,0.7,eggnog:466HW@72275,Alteromonadaceae,50S ribosomal protein L9
AMBAS45_RS18175,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L7/L12,0.7,eggnog:46787@72275,Alteromonadaceae,50S ribosomal protein L7/L12
AMBAS45_06310,Alteromonas macleodii AD45,vesicle,peptidoglycan-associated lipoprotein Pal,0.6,eggnog:46793@72275,Alteromonadaceae,peptidoglycan-associated lipoprotein Pal
AMBAS45_07090,Alteromonas macleodii AD45,vesicle,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,0.6,eggnog:4643J@72275,Alteromonadaceae,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
AMBAS45_11875,Alteromonas macleodii AD45,vesicle,alkaline phosphatase PhoX,0.6,eggnog:4661S@72275,Alteromonadaceae,alkaline phosphatase PhoX
AMBAS45_17705,Alteromonas macleodii AD45,vesicle,aminopeptidase PepB,0.6,eggnog:465XH@72275,Alteromonadaceae,aminopeptidase PepB
AMBAS45_01655,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L4,0.5,eggnog:464IZ@72275,Alteromonadaceae,50S ribosomal protein L4
AMBAS45_05760,Alteromonas macleodii AD45,vesicle,superoxide dismutase [Fe],0.5,eggnog:4648W@72275,Alteromonadaceae,superoxide dismutase [Fe]
AMBAS45_05800,Alteromonas macleodii AD45,vesicle,ribonuclease T,0.5,eggnog:465BF@72275,Alteromonadaceae,ribonuclease T
AMBAS45_06845,Alteromonas macleodii AD45,vesicle,outer membrane protein assembly factor BamE,0.5,eggnog:467KN@72275,Alteromonadaceae,outer membrane protein assembly factor BamE
AMBAS45_07845,Alteromonas macleodii AD45,vesicle,50S ribosomal protein L20,0.5,eggnog:466ZJ@72275,Alteromonadaceae,50S ribosomal protein L20
ACZ81_05530,Alteromonas macleodii HOT1A3,vesicle,TonB-dependent receptor,33.1,eggnog:4651V@72275,Alteromonadaceae,TonB-dependent receptor
ACZ81_13015,Alteromonas macleodii HOT1A3,vesicle,"6,7-dimethyl-8-ribityllumazine synthase",8.5,eggnog:466GG@72275,Alteromonadaceae,"6,7-dimethyl-8-ribityllumazine synthase"
ACZ81_10350,Alteromonas macleodii HOT1A3,vesicle,bacterioferritin,5.4,eggnog:466EC@72275,Alteromonadaceae,bacterioferritin
ACZ81_04230,Alteromonas macleodii HOT1A3,vesicle,outer membrane beta-barrel protein,4.2,eggnog:4686N@72275,Alteromonadaceae,outer membrane beta-barrel protein
ACZ81_02945,Alteromonas macleodii HOT1A3,vesicle,outer membrane channel protein TolC,3.8,eggnog:46448@72275,Alteromonadaceae,outer membrane channel protein TolC
ACZ81_18370,Alteromonas macleodii HOT1A3,vesicle,OmpA family protein,2.4,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
ACZ81_06575,Alteromonas macleodii HOT1A3,vesicle,TonB-dependent receptor,2.1,eggnog:465MG@72275,Alteromonadaceae,TonB-dependent receptor
ACZ81_11825,Alteromonas macleodii HOT1A3,vesicle,alkaline phosphatase PhoX,1.9,eggnog:4661S@72275,Alteromonadaceae,alkaline phosphatase PhoX
ACZ81_13870,Alteromonas macleodii HOT1A3,vesicle,XrtA/PEP-CTERM system exopolysaccharide export protein,1.8,eggnog:464WW@72275,Alteromonadaceae,XrtA/PEP-CTERM system exopolysaccharide export protein
ACZ81_17795,Alteromonas macleodii HOT1A3,vesicle,aminopeptidase PepB,1.4,eggnog:465XH@72275,Alteromonadaceae,aminopeptidase PepB
ACZ81_05565,Alteromonas macleodii HOT1A3,vesicle,MotA/TolQ/ExbB proton channel family protein,1.2,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
ACZ81_19615,Alteromonas macleodii HOT1A3,vesicle,ketol-acid reductoisomerase,1.1,eggnog:464ET@72275,Alteromonadaceae,ketol-acid reductoisomerase
ACZ81_15545,Alteromonas macleodii HOT1A3,vesicle,glutamate--ammonia ligase,0.9,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
ACZ81_05560,Alteromonas macleodii HOT1A3,vesicle,DUF3450 domain-containing protein,0.8,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
ACZ81_14595,Alteromonas macleodii HOT1A3,vesicle,DUF481 domain-containing protein,0.7,eggnog:465TR@72275,Alteromonadaceae,DUF481 domain-containing protein
